Watchlist Scanner,,,,,,,
,,,,,,,
Results,,,,,,,
Symbol,MovAvgExponential,Close,AvgClose1636,Avg300,AvgRisk300,totalRisk300,totalstocksWithAccount
CUBB,26.7,26.5651,,,,,
CURI,5.73,5.47,,,,,
CURV,9.75,9.51,,,,,
CVBF,22.84,23.37,,,,,
CVCY,22.57,23.04,,,,,
CVEO,19.99,20.56,,,,,
CVET,17.64,16.27,,,,,
CVGI,8.17,8.46,,,,,
CVLG,23.52,23.16,,,,,
CVLY,21.93,22.11,,,,,
CVRX,10.2,9.47,,,,,
CWAN,18.96,17.37,,,,,
CXDO,4.58,4.45,,,,,
CYAN,3.01,3.005,,,,,
CYBN,1.08,1.05,,,,,
CYCC,3.75,3.62,,,,,
CYCN,1.49,1.39,,,,,
CYTO,1.71,1.65,,,,,
CYXT,11.55,11.25,,,,,
CZNC,26.79,27.06,,,,,
DADA,11.94,11.9,,,,,
DAOO,9.81,9.81,,,,,
DARE,1.74,1.66,,,,,
DATS,2.68,2.4,,,,,
DAWN,15.22,14.09,,,,,
DBRG,7.88,7.85,,,,,
DCGO,8.31,7.71,,,,,
DCPH,9.08,8.87,,,,,
DCRN,9.44,9.33,,,,,
DENN,16.03,15.85,,,,,
DESP,9.81,9.94,,,,,
DGLY,1.09,1.07,,,,,
DGNU,9.8,9.77,,,,,
DHBC,9.73,9.745,,,,,
DHHC,9.76,9.7799,,,,,
DIDI,4.83,4.67,,,,,
DLCA,9.78,9.7699,,,,,
DLTH,14.75,14.53,,,,,
DMLP,21.6,22.28,,,,,
DMTK,15.03,14.48,,,,,
DNMR,7.33,6.64,,,,,
DNOW,9.24,9.7,,,,,
DOLE,13.22,13.43,,,,,
DOMA,4.44,4.15,,,,,
DOUG,10.45,10.64,,,,,
DPRO,1.55,1.45,,,,,
DSAC,9.91,9.91,,,,,
DSEY,13.07,12.5,,,,,
DSGN,17.25,15.85,,,,,
DSKE,9.66,9.47,,,,,
DSpC,24.93,25,,,,,
DTIL,6.45,5.94,,,,,
DTST,3.35,3.15,,,,,
DUOT,5.55,6.0942,,,,,
DVAX,13.63,13.53,,,,,
DXLG,5.82,5.67,,,,,
DXPE,25.86,26.03,,,,,
DXpC,25.93,26.1175,,,,,
DYAI,4.15,4.07,,,,,
DYFN,20.5,20.49,,,,,
DYNS,9.85,9.85,,,,,
EBAC,9.71,9.705,,,,,
EBET,15.6,14.2,,,,,
ECCC,25.53,25.71,,,,,
ECCW,26.36,26.5,,,,,
ECOM,22.46,22.27,,,,,
ECVT,10.22,10.41,,,,,
EDAP,6.22,6.41,,,,,
EDIT,24.28,22.1,,,,,
EDRY,18.93,19.25,,,,,
EDSA,5.46,5.26,,,,,
EDTK,1.03,1.11,,,,,
EDTX,10.02,10.04,,,,,
EEIQ,2.78,2.7,,,,,
EFTR,7.33,7.25,,,,,
EGAN,10.17,10.29,,,,,
EGGF,9.72,9.72,,,,,
EGHT,16.78,16.49,,,,,
EHTH,25.49,25.22,,,,,
EIGR,4.8,4.72,,,,,
EJFA,9.95,9.96,,,,,
ELMS,6.61,6.53,,,,,
ELSE,6.27,6.42,,,,,
ELYM,9.81,8.9,,,,,
EMBK,6.02,4.52,,,,,
EMKR,6.56,6.24,,,,,
ENDP,3.56,3.27,,,,,
ENIA,5.75,5.85,,,,,
ENLC,7.49,7.78,,,,,
ENOB,6.41,5.72,,,,,
ENTX,2.82,2.83,,,,,
ENVX,20.68,19.08,,,,,
EOLS,5.93,5.75,,,,,
EOSE,6.39,5.69,,,,,
EPHY,9.76,9.75,,,,,
EPIX,11.38,9.32,,,,,
EPZM,2.33,2.17,,,,,
EQOS,2.08,2.08,,,,,
ERAS,13.28,12.94,,,,,
ERIC,11.19,11.36,,,,,
ERII,20.15,19.72,,,,,
ESAC,9.92,9.92,,,,,
ESBK,22.82,22.8,,,,,
ESEA,25.93,27.76,,,,,
ESMT,21.43,21.13,,,,,
ESPR,4.27,3.93,,,,,
ESRT,9.69,9.78,,,,,
ESSA,17.41,17.49,,,,,
ESSC,14.42,15.54,,,,,
ESTE,13.43,14.43,,,,,
ETNB,12.53,12.12,,,,,
ETON,4.23,4.03,,,,,
ETRN,10.61,11.14,,,,,
ETWO,9.68,8.52,,,,,
EURN,9.19,9.27,,,,,
EVER,15.83,16.18,,,,,
EVGN,1.62,1.57,,,,,
EVGO,9.29,8.59,,,,,
EVLO,5.91,5.52,,,,,
EVLV,3.98,3.65,,,,,
EVRI,20.75,20.37,,,,,
EWCZ,27.29,25.17,,,,,
EWTX,17.45,17.5,,,,,
EXAI,18.93,18.8,,,,,
EXEL,18.21,18.12,,,,,
EXPR,3.15,3.15,,,,,
EXTN,3.4,3.54,,,,,
EXTR,14.6,14.29,,,,,
EYPT,11.56,9.93,,,,,
FARM,7.25,7.38,,,,,
FATH,6.83,7.89,,,,,
FATP,9.77,9.78,,,,,
FBIO,2.41,2.31,,,,,
FBRT,15.18,14.99,,,,,
FBRX,1.83,1.72,,,,,
FCCO,21.17,21.3994,,,,,
FCEL,5.13,4.83,,,,,
FCRX,25.58,25.62,,,,,
FDMT,18.19,16.99,,,,,
FEXD,9.88,9.88,,,,,
FFBC,26.12,26.73,,,,,
FFBW,11.9,12,,,,,
FFIC,25.36,25.88,,,,,
FFIE,5.42,5.65,,,,,
FFNW,16.54,16.66,,,,,
FGEN,14.08,14.34,,,,,
FHTX,18.45,17.61,,,,,
FICV,9.7,9.71,,,,,
FIGS,24.46,23.28,,,,,
FINM,9.76,9.76,,,,,
FINS,16.53,16.49,,,,,
FINW,15.83,17.05,,,,,
FIXX,3.68,3.69,,,,,
FKWL,4.5,4.61,,,,,
FLDM,3.3,3.13,,,,,
FLEX,18.11,18.27,,,,,
FLGC,1.75,1.7,,,,,
FLIC,22.1,22.33,,,,,
FLNC,27.27,24.2,,,,,
FLNG,23.78,24.9,,,,,
FLNT,1.93,1.86,,,,,
FLUX,4.2,4.17,,,,,
FMBI,21.92,22.55,,,,,
FMIV,9.74,9.732,,,,,
FMNB,19.35,19.71,,,,,
FMTX,12.47,11.75,,,,,
FNHC,1.43,1.4,,,,,
FNKO,18.18,17.8,,,,,
FNWB,20.25,20.29,,,,,
FOLD,10.62,10.53,,,,,
FOSL,10.43,10.33,,,,,
FOUN,9.96,9.99,,,,,
FRBK,3.87,3.96,,,,,
FREE,10.11,10.01,,,,,
FREQ,5.33,5.14,,,,,
FREY,9.97,9.34,,,,,
FRLA,9.95,9.96,,,,,
FROG,27.73,26.19,,,,,
FRSH,23.64,23.1,,,,,
FRST,15.75,16.02,,,,,
FRSX,1.66,1.64,,,,,
FRXB,9.73,9.72,,,,,
FSEA,10.66,10.7,,,,,
FSRX,9.74,9.7268,,,,,
FSTR,14.58,15.34,,,,,
FSTX,4.64,4.53,,,,,
FTCH,28.94,27.2,,,,,
FTFT,1.11,0.9673,,,,,
FTHM,18.94,18.97,,,,,
FTSI,26.3,26.35,,,,,
FUBO,14.25,13.12,,,,,
FULC,15.27,13.92,,,,,
FULT,18.21,18.88,,,,,
FUNC,19.8,20.21,,,,,
FUSN,5.6,6.6,,,,,
FVCB,20.06,20.435,,,,,
FWRG,15.62,15.53,,,,,
FXLV,11.87,12.39,,,,,
GACQ,9.91,9.9,,,,,
GAIA,8.35,8.09,,,,,
GAIN,16.67,16.23,,,,,
GALT,2.1,2.02,,,,,
GAMC,9.71,9.73,,,,,
GAME,3.08,3.13,,,,,
GAPA,9.85,9.87,,,,,
GASS,2.22,2.25,,,,,
GATO,10.13,10.05,,,,,
GBLI,26.14,26.75,,,,,
GBNY,11.93,11.8501,,,,,
GBOX,4.51,4.27,,,,,
GCMG,10.15,9.96,,,,,
GECC,3.18,3.18,,,,,
GEOS,7.74,8.26,,,,,
GERN,1.19,1.2,,,,,
GEVO,4.26,4.1,,,,,
GGAL,9.49,9.49,,,,,
GGPI,11.48,11.42,,,,,
GHLD,14,13.98,,,,,
GHRS,19.9,19.21,,,,,
GIIX,10.1,10.04,,,,,
GILT,7.92,7.86,,,,,
GIPR,6.4927,6.79,,,,,
GLAD,11.35,11.28,,,,,
GLDG,1.53,1.57,,,,,
GLEE,9.96,9.96,,,,,
GLNG,13.5,14.08,,,,,
GLSI,21.4,20.24,,,,,
GLTA,9.86,9.81,,,,,
GLYC,1.34,1.24,,,,,
GMBL,3.5,3.24,,,,,
GMDA,2.35,2.27,,,,,
GMRE,17.49,17.15,,,,,
GMTX,2.34,2.12,,,,,
GMVD,2.76,3.5,,,,,
GNCA,1.06,1.03,,,,,
GNFT,4.88,4.93,,,,,
GNOG,9.3,8.44,,,,,
GNPX,2.27,2.26,,,,,
GNTA,10.31,10.21,,,,,
GNUS,1.08,1.09,,,,,
GOAC,9.86,9.87,,,,,
GOCO,3.14,2.94,,,,,
GOED,2.29,2.27,,,,,
GOEV,7.15,6.74,,,,,
GOGN,9.92,9.9,,,,,
GOGO,13.3,13.08,,,,,
GORO,1.62,1.61,,,,,
GOSS,11.78,11.85,,,,,
GOTU,1.75,1.81,,,,,
GPCO,9.98,9.996,,,,,
GPJA,25.82,25.9243,,,,,
GPMT,11.97,12.17,,,,,
GPRK,12.51,13.5,,,,,
GPRO,10.54,10.44,,,,,
GRAB,6.49,6.04,,,,,
GRAY,1.63,1.55,,,,,
GREE,15.71,14.59,,,,,
GRFS,11.94,12.63,,,,,
GRIN,17.97,18.3,,,,,
GROM,1.84,1.8756,,,,,
GROY,4.66,4.53,,,,,
GRPH,10.89,10.06,,,,,
GRPN,23.33,22.05,,,,,
GRTS,7.37,6.25,,,,,
GRUB,10.43,10.88,,,,,
GRVI,4.37,4.7,,,,,
GRWG,10.99,9.375,,,,,
GSAT,1.08,1.04,,,,,
GSBD,19.57,19.76,,,,,
GSEV,9.8,9.795,,,,,
GSIT,4.67,4.82,,,,,
GSKY,11.66,11.34,,,,,
GSLD,25.83,25.8499,,,,,
GSQD,9.9,9.9,,,,,
GSpA,24.76,24.69,,,,,
GSpD,25.05,25.01,,,,,
GSpJ,26.54,26.67,,,,,
GTBP,3.08,2.97,,,,,
GTES,16.34,16.59,,,,,
GTHX,9.95,10.11,,,,,
GTIM,4.56,4.6,,,,,
GWII,9.8,9.79,,,,,
GYRO,11.88,11.85,,,,,
HAFC,25.62,26.72,,,,,
HARP,6.35,5.85,,,,,
HBAN,16.95,17.63,,,,,
HBMD,24.19,25.12,,,,,
HBNC,21.98,23.25,,,,,
HCCC,9.89,9.94,,,,,
HCDI,2.49,2.49,,,,,
HCIC,9.77,9.78,,,,,
HCSG,18.15,18.72,,,,,
HEPA,1.2,1.16,,,,,
HEPS,1.85,1.98,,,,,
HFWA,26.22,27.18,,,,,
HGEN,3.15,2.85,,,,,
HIGA,9.81,9.82,,,,,
HILS,3.24,2.85,,,,,
HIMS,5.67,5.29,,,,,
HIMX,12.88,12.95,,,,,
HIPO,2.56,2.46,,,,,
HITI,4.57,4.79,,,,,
HIVE,2.45,2.42,,,,,
HLBZ,5.46,5.3,,,,,
HLGN,7.4,4.76,,,,,
HLIT,11.47,11.44,,,,,
HLLY,12.74,13.03,,,,,
HLMN,9.94,9.68,,,,,
HLTH,10.83,9.58,,,,,
HMCO,9.79,9.7899,,,,,
HMHC,15.62,16.16,,,,,
HMLP,4.42,4.48,,,,,
HMNF,24.79,25,,,,,
HMPT,4.79,4.89,,,,,
HNGR,18.59,18.83,,,,,
HNNA,11.11,11.33,,,,,
HNRG,2.6,2.75,,,,,
HNST,7.2,6.83,,,,,
HOFT,23.09,23.16,,,,,
HOFV,1.56,1.45,,,,,
HOLI,14.64,14.7,,,,,
HOMB,25.42,25.74,,,,,
HONE,15.05,15.03,,,,,
HOOD,16.09,15.17,,,,,
HOOK,2.1,2.05,,,,,
HOPE,16.08,16.79,,,,,
HOWL,10.01,8.92,,,,,
HPLT,9.71,9.7,,,,,
HROW,8.39,8.5,,,,,
HRTX,8.79,8.7,,,,,
HTBK,12.31,12.69,,,,,
HTFB,25.89,25.85,,,,,
HTGM,4.33,4.04,,,,,
HTLD,16.3,15.95,,,,,
HTpC,23.7,24,,,,,
HTpD,23.01,23.2999,,,,,
HTpE,23.12,23.25,,,,,
HUDI,24.04,19.76,,,,,
HUMA,6.28,5.83,,,,,
HUYA,7.07,7.15,,,,,
HWBK,25.69,25.92,,,,,
HYFM,24.2,22.92,,,,,
HYLN,5.58,5.27,,,,,
HYRE,3.98,3.76,,,,,
HYZN,6.01,4.99,,,,,
HZON,9.82,9.82,,,,,
IBCP,25.13,25.83,,,,,
IBRX,6.43,6.67,,,,,
ICPT,16.52,17.76,,,,,
IDEX,1.19,1.17,,,,,
IDYA,18.72,17.82,,,,,
IFRX,4.22,4.25,,,,,
